timestamp,open,high,low,close,volume
2023-11-28,136.0800,137.2500,135.4222,137.2000,18730032
2023-11-27,136.0300,138.4200,136.0000,136.4100,23436526
2023-11-24,138.0300,138.1300,135.9900,136.6900,12514322
2023-11-22,137.4700,139.4200,137.4700,138.4900,17820456
2023-11-21,136.2900,137.1800,135.9600,136.9700,22635272
2023-11-20,133.6900,136.6600,133.6200,136.2500,27850762
2023-11-17,136.0000,136.0600,133.6500,135.3100,37287691
2023-11-16,135.1900,137.2199,134.3200,136.9300,28013179
2023-11-15,134.8700,135.0300,133.5700,134.6200,23861515
2023-11-14,134.1900,135.7000,133.3200,133.6200,32395178
2023-11-13,131.7800,132.5900,131.2500,132.0900,18324751
2023-11-10,130.1050,132.8000,129.4100,132.5900,26927826
2023-11-09,131.9600,132.5500,130.0650,130.2400,23747773
2023-11-08,130.9700,132.2100,130.7800,131.8400,26425849
2023-11-07,130.7100,131.9100,129.8800,130.9700,29757276
2023-11-06,129.0500,130.3400,128.6700,130.2500,19052740
2023-11-03,128.0200,129.5250,127.8600,129.1000,26393109
2023-11-02,128.4200,128.9800,126.9300,127.4900,27124647
2023-11-01,124.0700,126.4900,123.7150,126.4500,30082438
2023-10-31,125.0600,125.3700,122.6850,124.0800,26292342
2023-10-30,123.2100,125.4000,122.7500,124.4600,28940081
2023-10-27,122.8800,123.3100,120.2057,122.1700,44566506
2023-10-26,123.2700,124.3297,121.2700,122.2800,57061140
2023-10-25,128.1600,128.3100,125.0700,125.6100,84366208
2023-10-24,137.8300,139.3599,137.4200,138.8100,44814321
2023-10-23,135.0400,137.6599,133.9500,136.5000,26317930
2023-10-20,137.3300,137.8700,135.0800,135.6000,26335673
2023-10-19,138.5000,139.6600,137.3800,137.7500,26066011
2023-10-18,139.4450,140.7200,137.3800,137.9600,23374998
2023-10-17,138.6300,139.9000,137.1800,139.7200,23515780
2023-10-16,138.1700,139.6300,137.9900,139.0950,28501871
2023-10-13,139.3800,140.0000,136.6150,137.3600,23435599
2023-10-12,141.0500,141.2200,138.2600,138.9700,24765537
2023-10-11,138.5800,141.1100,138.5800,140.5500,25884303
2023-10-10,138.5000,139.7200,137.3300,138.0600,27786613
2023-10-09,136.9400,138.9400,135.6100,138.4200,19278070
2023-10-06,134.0100,138.1550,134.0100,137.5800,27597598
2023-10-05,135.0700,135.4900,133.4500,135.0700,19832615
2023-10-04,132.7900,135.5700,132.5300,135.2400,26752295
2023-10-03,133.9400,134.2600,131.8400,132.4300,22989401
2023-10-02,131.2100,134.4200,131.1700,134.1700,22288038
2023-09-29,133.2800,134.0500,130.3600,130.8600,30859790
2023-09-28,129.8400,133.3000,129.7900,132.3100,22513132
2023-09-27,128.5700,130.8950,128.5700,130.5400,22746452
2023-09-26,129.7700,130.3645,127.2200,128.5650,25718704
2023-09-25,129.8300,131.1700,128.9600,131.1100,20094643
2023-09-22,130.7600,132.0250,129.6000,130.2500,26397337
2023-09-21,131.4400,132.2300,130.0700,130.4400,31503910
2023-09-20,138.0800,138.0800,133.6200,133.7400,29927475
2023-09-19,137.4200,138.4100,136.6200,138.0400,20353653
2023-09-18,136.6100,139.1600,136.6100,138.2100,21861346
2023-09-15,137.9800,138.5200,136.4800,137.4000,38919614
2023-09-14,137.6000,138.6950,136.2400,138.1000,24750968
2023-09-13,135.0900,136.9000,134.1500,136.7100,20749496
2023-09-12,136.2600,136.8701,135.1900,135.3400,18405505
2023-09-11,136.5400,137.4800,135.7850,136.9200,20763350
2023-09-08,134.9100,136.6600,134.8500,136.3800,23584188
2023-09-07,133.5900,135.5800,132.9500,135.2600,18844342
2023-09-06,136.0200,136.5299,133.6650,134.4600,18684534
2023-09-05,135.4400,136.4200,134.5801,135.7700,19403112
2023-09-01,137.4550,137.4550,134.8500,135.6600,21543687
2023-08-31,136.0100,138.0000,135.7900,136.1700,30053800
2023-08-30,134.7800,136.2750,134.0700,135.8800,28315769
2023-08-29,132.2400,136.5700,132.2400,134.5700,43075556
2023-08-28,131.3100,132.5400,130.1400,131.0100,20543266
2023-08-25,129.5400,130.7600,127.2500,129.8800,26762891
2023-08-24,133.9500,134.2500,129.5700,129.7800,28500694
2023-08-23,130.1800,133.4100,129.8700,132.3700,27819713
2023-08-22,128.5100,130.2780,128.3200,129.0800,22067520
2023-08-21,127.1750,128.7250,126.5600,128.3700,25248729
2023-08-18,128.5100,129.2500,126.3824,127.4600,30504769
2023-08-17,129.8000,131.9900,129.2900,129.9200,33446280
2023-08-16,128.7000,130.2809,127.8650,128.7000,25216068
2023-08-15,131.1000,131.4200,129.2800,129.7800,19770732
2023-08-14,129.3900,131.3700,128.9600,131.3300,24695608
2023-08-11,128.6600,129.9300,128.1700,129.5600,19591080
2023-08-10,131.3200,132.0500,129.4500,129.6900,20857754
2023-08-09,131.6600,132.0400,129.0000,129.6600,24912918
2023-08-08,130.6200,131.5100,129.5450,131.4000,23535181
2023-08-07,129.1600,131.6100,129.0200,131.5300,22746290
2023-08-04,129.2800,131.5100,127.9100,128.1100,26147158
2023-08-03,127.9700,129.3850,127.4200,128.4500,20159528
2023-08-02,129.4500,130.0900,127.5600,128.3800,26273258
2023-08-01,130.7750,132.6300,130.6800,131.5500,23276440
2023-07-31,132.7300,133.5250,131.7750,132.7200,28055531
2023-07-28,130.7800,133.7400,130.5700,132.5800,36591158
2023-07-27,131.6700,133.2400,128.7900,129.4000,44952074
2023-07-26,130.0700,130.9800,128.3200,129.2700,61682093
2023-07-25,121.3600,123.1450,121.0200,122.2100,52509551
2023-07-24,121.6600,123.0000,120.9800,121.5300,29723667
2023-07-21,120.6200,120.9900,118.7300,120.0200,71606474
2023-07-20,121.4200,124.0900,118.2200,119.2000,37906763
2023-07-19,124.6000,125.1800,121.8000,122.0300,37224033
2023-07-18,124.6000,124.6800,122.9600,123.7600,26226447
2023-07-17,125.9400,127.0999,124.1950,124.6500,25716215
2023-07-14,124.8000,126.7750,123.4900,125.4200,33283076
2023-07-13,120.9300,124.8300,120.4500,124.5400,44297915
2023-07-12,118.8000,120.3300,118.4145,118.9300,30404409
2023-07-11,116.2900,117.7100,115.3500,117.1400,23078782
2023-07-10,118.3000,118.3050,116.1350,116.4500,35315235
